"","year","latino","white","black","asian","pacis","female","age_cat","ed_hsgrad","ed_somecoll","ed_collgrad","poor","lfp","full_time","live_any_fam","live_spouse","live_fam_lf","live_sp_lf","poor_lf","own","stress30","stress50","totpop"
"1",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,FALSE,FALSE,0.349988093618633,0.593125196705969,0.391636472525417,0.686525680269382,0.458590093841061,0.446416224055936,0.207508202175531,0.155171618036599,0.504839730956981,0.365804868799754,0.161098493514922,3415.09172989429
"2",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,FALSE,TRUE,0.0967816500290762,0.857929544609816,0.68580073502472,0.800827328414835,0.32054576975869,0.667104953971213,0.242202464097413,0.0515114480200816,0.733317382730771,0.228555851139917,0.0927639357009942,10823.6220513582
"3",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,TRUE,FALSE,0.182702094538169,0.7509884512565,0.57134348692967,0.749664769638341,0.404370958146321,0.582227994963769,0.243940263342553,0.0802185719824801,0.658274617304093,0.289119323868278,0.125901910238253,10911.2495045662
"4",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,FALSE,FALSE,0.258344588907733,0.697053577554592,0.519501382595229,0.734841724767612,0.428336185290299,0.540559860067019,0.239650192269171,0.113764997584586,0.569539672207186,0.325116646649178,0.142479016941376,7031.0367141813
"5",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,FALSE,FALSE,0.396745336143203,0.490945870187527,0.288905534798403,0.676098938951674,0.444182759319789,0.320226945434633,0.15963227526277,0.116294998067164,0.532864786819391,0.371946906858503,0.1793949852615,2560.58636307717
"6",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,FALSE,TRUE,0.131207541712651,0.726441202646225,0.555254692797905,0.788312376318154,0.31110267429663,0.565946282720538,0.198344335841814,0.04305777232525,0.761127193636261,0.24107849237066,0.108051536924932,9861.35388678312
"7",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,TRUE,FALSE,0.206161573018921,0.612189398922643,0.440649578419672,0.731239840121704,0.383734318833974,0.443312602721132,0.185595714248026,0.0628437928614483,0.689714123673877,0.298009970206774,0.139267899457075,10220.3408533633
"8",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",TRUE,FALSE,FALSE,0.277055142505768,0.552162244659655,0.393394332717935,0.716402203505988,0.410337975881292,0.408525661537253,0.18227733152702,0.0828445333994098,0.604082088503539,0.336184842539722,0.15174010690759,6004.71889677644
"9",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",FALSE,FALSE,FALSE,0.411680050505752,0.221799209682069,0.13699817233349,0.688406752623832,0.432020543075905,0.188828489911794,0.0873258299608539,0.0420165849919648,0.541081256166221,0.38478051331804,0.191785313194852,1757.02075837553
"10",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",FALSE,FALSE,TRUE,0.14579859723496,0.463494865680037,0.318136964597479,0.781436941632085,0.319122467025639,0.375028662978353,0.131878517025105,0.0242090364043329,0.764014192721743,0.25820670923333,0.124580944840128,7479.16161969305
"11",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",FALSE,TRUE,FALSE,0.215981437416096,0.336669072423711,0.219397064466415,0.724437302211651,0.379046089874994,0.260073286575925,0.111983797907514,0.0333296364369958,0.701888873679844,0.309763022809204,0.147281949471336,7461.25051617622
"12",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",TRUE,FALSE,FALSE,0.293792476329554,0.272422079868569,0.194600194624527,0.718474333167862,0.402415608930343,0.234766188217443,0.0969868395534546,0.0401597636125604,0.611574156006341,0.349760317710682,0.161497792127315,4121.56710575521
"13",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"70-74",FALSE,FALSE,FALSE,0.438274367401147,0.109146178539416,0.0565283954647192,0.699588681531381,0.420888987828092,0.0908658143117101,0.0516428363658636,0.0210347304923988,0.578557123749687,0.378673576089097,0.19527988080823,1225.6696497947
"14",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"70-74",FALSE,FALSE,TRUE,0.163861432431927,0.256221286353408,0.145180086994224,0.776889013458024,0.302965439597155,0.211632926941996,0.078061730085968,0.0167627699370146,0.791307597454656,0.257629672805817,0.1389673098317,5907.99297881126
"15",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"70-74",FALSE,TRUE,FALSE,0.242003443308363,0.171521890101117,0.0937796745789405,0.723402530064065,0.361760207780826,0.143879819603234,0.064766069386428,0.0192794755171627,0.733563570458594,0.306700744268357,0.152286710719431,5394.1819228232
"16",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"70-74",TRUE,FALSE,FALSE,0.325720844236937,0.14337639769037,0.0872027227305511,0.714511691738762,0.382635359085769,0.111553850032647,0.0564396642423655,0.0191197801129033,0.65651249464082,0.343430516798626,0.165428132750647,2779.15544857085
"17",2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"75-79",FALSE,FALSE,FALSE,0.455747830106375,0.0700595021333474,0.0323242440435497,0.706563472976041,0.382828503666953,0.0649792156987223,0.0337496519910584,0.0120017352970635,0.598620543677299,0.373056385082238,0.192830817973282,898.884036436675
