"","year","latino","white","black","asian","pacis","age_cat","female","ed_hsgrad","ed_somecoll","ed_collgrad","pred","poor","lfp","full_time","live_any_fam","live_spouse","live_fam_lf","live_sp_lf","poor_lf","own","stress30","stress50","own_lf","stress30_lf","stress50_lf","totpop","full_time_lf"
"1",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,FALSE,FALSE,FALSE,FALSE,0.230524824641431,0.585430259053452,0.435175057090506,0.768518464058665,0.364214714111995,0.844088820077361,0.297509937463774,0.0922434296875138,0.713091704389891,0.384040371268064,0.196581869614366,0.785336832004305,0.390358869042269,0.182196480125417,1888,0.743342268973447
"2",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,FALSE,FALSE,TRUE,FALSE,0.226259406367075,0.661008385414747,0.477878061445475,0.739927294591527,0.366379831406355,0.807078586562596,0.302034831958228,0.110284008176832,0.71824771898365,0.373926020636585,0.192430386167492,0.775759698975796,0.366123109608071,0.169067188520524,5653,0.72295310012691
"3",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,FALSE,TRUE,FALSE,FALSE,0.233215159553316,0.668215771797017,0.487823721882129,0.751074282153517,0.365502124572608,0.817668228909476,0.302094344957001,0.11609544768668,0.713691905533755,0.394409021646595,0.201856320052021,0.782278583379053,0.37902168345274,0.173398751225356,7148,0.730039221567961
"4",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,TRUE,FALSE,FALSE,FALSE,0.221603582429182,0.599954002402373,0.43564881758243,0.780259228024145,0.37107840903453,0.85704175166885,0.302545484892335,0.104224498673373,0.715083733768172,0.396012445021687,0.18928188741139,0.772525389814312,0.411444603422494,0.185622656291255,3893,0.726137030235614
"5",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,FALSE,FALSE,FALSE,FALSE,0.224487496198045,0.678521436792721,0.406921597558678,0.796625221210552,0.379208936836279,0.806367212642458,0.382521099444072,0.115750293000257,0.670863491556559,0.38254675212477,0.187962385219827,0.688982638849541,0.385449474903791,0.158748358946709,2055,0.599718115734326
"6",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,FALSE,FALSE,TRUE,FALSE,0.234387796506431,0.699130942190225,0.411985275498427,0.77517554994758,0.403228365968396,0.770671518446701,0.404576612962057,0.130471915553779,0.687670956819295,0.418327223960526,0.194869937728111,0.695824758319231,0.426990311959547,0.164780495230773,5356,0.589281993738922
"7",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,FALSE,TRUE,FALSE,FALSE,0.231746494432363,0.684453579254267,0.406507559264937,0.785008190579084,0.387753014139781,0.796840496506541,0.380970327990598,0.118059528774019,0.677939035150423,0.402051925261877,0.20107617111645,0.693885076539565,0.399302030573486,0.166068551332814,9234,0.593915455461332
"8",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,TRUE,FALSE,FALSE,FALSE,0.228779496301427,0.68773441747381,0.414417953585679,0.78751307007362,0.38577832790274,0.792688610581009,0.382885600646693,0.123170387597595,0.690850666381006,0.422326544090802,0.202439764315261,0.69834171748551,0.417069847554513,0.162098952071033,4154,0.602584286980898
"9",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,FALSE,FALSE,FALSE,FALSE,0.254459651700998,0.447834051740099,0.285117632935609,0.799405463431212,0.237337750659422,0.885749641629613,0.114250358370387,0.0774364726913693,0.682215521237897,0.40142458623626,0.17062500837166,0.706244413198719,0.322947139246513,0.145220939391429,2189,0.63665911921561
"10",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,FALSE,FALSE,TRUE,FALSE,0.25720375365716,0.504685213789816,0.375199071290552,0.851240085400342,0.173443017982713,0.889865273497469,0.110134726502531,0.0607903519250249,0.66068447752006,0.416197586948104,0.208152576642478,0.617811750599118,0.274956986686146,0.0840599842044024,3145,0.743431868100676
"11",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,FALSE,TRUE,FALSE,FALSE,0.259992870605128,0.482219441061926,0.332161236846859,0.820072473353103,0.211841352443758,0.882112255552848,0.117887744447152,0.0733566517974166,0.678232850297657,0.40653197282294,0.188045840066217,0.669889642938348,0.303445223095977,0.117770373115096,5078,0.688817597472606
"12",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,TRUE,FALSE,FALSE,FALSE,0.26558012148796,0.507398416812419,0.363309299667801,0.829907248236262,0.200672649770172,0.875599027233745,0.124400972766255,0.074271911256928,0.679396995878996,0.407958069616814,0.196961244605279,0.656444601748028,0.296696385716851,0.106141117449499,3953,0.716023715545241
"13",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",TRUE,FALSE,FALSE,FALSE,FALSE,0.258811983415387,0.492724526451654,0.305967283320541,0.716813636596643,0.48294062324833,0.630569444323857,0.513128949844965,0.120159034606641,0.669502848384394,0.406163668505551,0.163472045611786,0.639017244230855,0.367956560769712,0.114954128282985,1973,0.620970272220785
"14",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",TRUE,FALSE,FALSE,TRUE,FALSE,0.284848838544901,0.479307675938432,0.301076373978787,0.715936686095069,0.51430909531565,0.634668639794858,0.521961749426139,0.130703705028974,0.657443859876863,0.415785828053774,0.179609137351607,0.643322396339583,0.392801922719062,0.150117007228933,3720,0.628148450552794
"15",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",TRUE,FALSE,TRUE,FALSE,FALSE,0.266053618183557,0.524438046147364,0.332871038525733,0.72022264316792,0.465647674818126,0.663392859838279,0.483488800636964,0.143685461021942,0.675931413463403,0.369154704209629,0.151196649098602,0.633531195793197,0.312961313057607,0.117954024160301,4819,0.634719469670586
